dataset,split,example_idx,setup_id
wmt24-literary,en-cs,20,aya23
wmt24-literary,en-cs,24,aya23
wmt24-literary,en-cs,50,aya23
wmt24-literary,en-cs,52,aya23
wmt24-literary,en-cs,58,aya23
wmt24-literary,en-cs,32,aya23
wmt24-literary,en-cs,38,aya23
wmt24-literary,en-cs,10,aya23
wmt24-literary,en-cs,11,aya23
wmt24-literary,en-cs,70,aya23
wmt24-literary,en-cs,32,claude-3-5
wmt24-literary,en-cs,38,claude-3-5
wmt24-literary,en-cs,20,claude-3-5
wmt24-literary,en-cs,24,claude-3-5
wmt24-literary,en-cs,50,claude-3-5
wmt24-literary,en-cs,52,claude-3-5
wmt24-literary,en-cs,58,claude-3-5
wmt24-literary,en-cs,10,claude-3-5
wmt24-literary,en-cs,11,claude-3-5
wmt24-literary,en-cs,70,claude-3-5
wmt24-literary,en-cs,20,commandr-plus
wmt24-literary,en-cs,24,commandr-plus
wmt24-literary,en-cs,32,commandr-plus
wmt24-literary,en-cs,38,commandr-plus
wmt24-literary,en-cs,50,commandr-plus
wmt24-literary,en-cs,52,commandr-plus
wmt24-literary,en-cs,58,commandr-plus
wmt24-literary,en-cs,10,commandr-plus
wmt24-literary,en-cs,11,commandr-plus
wmt24-literary,en-cs,70,commandr-plus
wmt24-literary,en-cs,20,cuni-doctransformer
wmt24-literary,en-cs,24,cuni-doctransformer
wmt24-literary,en-cs,32,cuni-doctransformer
wmt24-literary,en-cs,38,cuni-doctransformer
wmt24-literary,en-cs,50,cuni-doctransformer
wmt24-literary,en-cs,52,cuni-doctransformer
wmt24-literary,en-cs,58,cuni-doctransformer
wmt24-literary,en-cs,10,cuni-doctransformer
wmt24-literary,en-cs,11,cuni-doctransformer
wmt24-literary,en-cs,70,cuni-doctransformer
wmt24-literary,en-cs,20,cuni-ga
wmt24-literary,en-cs,24,cuni-ga
wmt24-literary,en-cs,10,cuni-ga
wmt24-literary,en-cs,11,cuni-ga
wmt24-literary,en-cs,32,cuni-ga
wmt24-literary,en-cs,38,cuni-ga
wmt24-literary,en-cs,50,cuni-ga
wmt24-literary,en-cs,52,cuni-ga
wmt24-literary,en-cs,58,cuni-ga
wmt24-literary,en-cs,70,cuni-ga
wmt24-literary,en-cs,10,cuni-mh
wmt24-literary,en-cs,11,cuni-mh
wmt24-literary,en-cs,20,cuni-mh
wmt24-literary,en-cs,24,cuni-mh
wmt24-literary,en-cs,32,cuni-mh
wmt24-literary,en-cs,38,cuni-mh
wmt24-literary,en-cs,50,cuni-mh
wmt24-literary,en-cs,52,cuni-mh
wmt24-literary,en-cs,58,cuni-mh
wmt24-literary,en-cs,70,cuni-mh
wmt24-literary,en-cs,50,gemini-1-5-pro
wmt24-literary,en-cs,52,gemini-1-5-pro
wmt24-literary,en-cs,58,gemini-1-5-pro
wmt24-literary,en-cs,10,gemini-1-5-pro
wmt24-literary,en-cs,11,gemini-1-5-pro
wmt24-literary,en-cs,20,gemini-1-5-pro
wmt24-literary,en-cs,24,gemini-1-5-pro
wmt24-literary,en-cs,32,gemini-1-5-pro
wmt24-literary,en-cs,38,gemini-1-5-pro
wmt24-literary,en-cs,70,gemini-1-5-pro
wmt24-literary,en-cs,20,gpt-4
wmt24-literary,en-cs,24,gpt-4
wmt24-literary,en-cs,10,gpt-4
wmt24-literary,en-cs,11,gpt-4
wmt24-literary,en-cs,50,gpt-4
wmt24-literary,en-cs,52,gpt-4
wmt24-literary,en-cs,58,gpt-4
wmt24-literary,en-cs,32,gpt-4
wmt24-literary,en-cs,38,gpt-4
wmt24-literary,en-cs,70,gpt-4
wmt24-literary,en-cs,50,ikun
wmt24-literary,en-cs,52,ikun
wmt24-literary,en-cs,58,ikun
wmt24-literary,en-cs,20,ikun
wmt24-literary,en-cs,24,ikun
wmt24-literary,en-cs,10,ikun
wmt24-literary,en-cs,11,ikun
wmt24-literary,en-cs,32,ikun
wmt24-literary,en-cs,38,ikun
wmt24-literary,en-cs,70,ikun
wmt24-literary,en-cs,20,ikun-c
wmt24-literary,en-cs,24,ikun-c
wmt24-literary,en-cs,50,ikun-c
wmt24-literary,en-cs,52,ikun-c
wmt24-literary,en-cs,58,ikun-c
wmt24-literary,en-cs,10,ikun-c
wmt24-literary,en-cs,11,ikun-c
wmt24-literary,en-cs,32,ikun-c
wmt24-literary,en-cs,38,ikun-c
wmt24-literary,en-cs,70,ikun-c
wmt24-literary,en-cs,20,iol-research
wmt24-literary,en-cs,24,iol-research
wmt24-literary,en-cs,32,iol-research
wmt24-literary,en-cs,38,iol-research
wmt24-literary,en-cs,50,iol-research
wmt24-literary,en-cs,52,iol-research
wmt24-literary,en-cs,58,iol-research
wmt24-literary,en-cs,10,iol-research
wmt24-literary,en-cs,11,iol-research
wmt24-literary,en-cs,70,iol-research
wmt24-literary,en-cs,10,llama3-70b
wmt24-literary,en-cs,11,llama3-70b
wmt24-literary,en-cs,50,llama3-70b
wmt24-literary,en-cs,52,llama3-70b
wmt24-literary,en-cs,58,llama3-70b
wmt24-literary,en-cs,38,llama3-70b
wmt24-literary,en-cs,32,llama3-70b
wmt24-literary,en-cs,20,llama3-70b
wmt24-literary,en-cs,24,llama3-70b
wmt24-literary,en-cs,70,llama3-70b
wmt24-literary,en-cs,10,online-w
wmt24-literary,en-cs,11,online-w
wmt24-literary,en-cs,32,online-w
wmt24-literary,en-cs,38,online-w
wmt24-literary,en-cs,20,online-w
wmt24-literary,en-cs,24,online-w
wmt24-literary,en-cs,50,online-w
wmt24-literary,en-cs,52,online-w
wmt24-literary,en-cs,58,online-w
wmt24-literary,en-cs,20,scir-mt
wmt24-literary,en-cs,24,scir-mt
wmt24-literary,en-cs,10,scir-mt
wmt24-literary,en-cs,11,scir-mt
wmt24-literary,en-cs,50,scir-mt
wmt24-literary,en-cs,52,scir-mt
wmt24-literary,en-cs,58,scir-mt
wmt24-literary,en-cs,32,scir-mt
wmt24-literary,en-cs,38,scir-mt
wmt24-literary,en-cs,70,scir-mt
wmt24-literary,en-cs,32,unbabel-tower70b
wmt24-literary,en-cs,38,unbabel-tower70b
wmt24-literary,en-cs,10,unbabel-tower70b
wmt24-literary,en-cs,11,unbabel-tower70b
wmt24-literary,en-cs,50,unbabel-tower70b
wmt24-literary,en-cs,52,unbabel-tower70b
wmt24-literary,en-cs,58,unbabel-tower70b
wmt24-literary,en-cs,20,unbabel-tower70b
wmt24-literary,en-cs,24,unbabel-tower70b
wmt24-literary,en-cs,70,unbabel-tower70b
wmt24-literary,en-es,1,claude-3-5
wmt24-literary,en-es,5,claude-3-5
wmt24-literary,en-es,59,claude-3-5
wmt24-literary,en-es,40,claude-3-5
wmt24-literary,en-es,45,claude-3-5
wmt24-literary,en-es,18,claude-3-5
wmt24-literary,en-es,31,claude-3-5
wmt24-literary,en-es,33,claude-3-5
